City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,daru,-9.0763,143.2092,299.03,82,43,5.74,PG,1689563849
341,road town,18.4167,-64.6167,301.2,78,100,9.94,VG,1689563821
342,nagqu,31.5,92.0,283.12,50,0,2.15,CN,1689563850
343,tomatlan,19.9333,-105.25,299.99,89,100,0.88,MX,1689563850
344,kailua-kona,19.6406,-155.9956,301.13,82,100,4.12,US,1689563850
345,laguna,38.421,-121.4238,310.79,40,0,4.12,US,1689563687
346,hotan,37.0997,79.9269,306.61,12,98,1.77,CN,1689563851
347,kande,9.9578,1.0447,296.66,91,98,1.05,TG,1689563851
348,mugia,43.1041,-9.2179,286.99,81,4,5.0,ES,1689563851
349,amursk,50.2261,136.8994,294.24,71,100,0.55,RU,1689563851
350,berezovyy,51.6667,135.7,300.93,45,67,3.17,RU,1689563852
351,boyolangu,-8.1181,111.8935,299.89,63,67,4.7,ID,1689563852
352,remire-montjoly,4.9167,-52.2667,295.17,100,11,0.0,GF,1689563852
353,luderitz,-26.6481,15.1594,290.36,44,0,2.87,NA,1689563852
354,olovyannaya,50.95,115.5667,303.49,29,0,6.38,RU,1689563853
355,constantia,44.1833,28.65,292.53,65,0,2.22,RO,1689563853
356,hithadhoo,-0.6,73.0833,300.65,73,87,1.52,MV,1689563853
357,luba,3.4568,8.5547,297.09,89,100,2.79,GQ,1689563853
358,greenville,35.6127,-77.3663,298.24,97,0,0.0,US,1689563853
359,alofi,-19.0595,-169.9187,293.09,94,100,4.63,NU,1689563854
360,dolbeau-mistassini,48.8763,-72.212,291.51,99,97,0.95,CA,1689563854
361,longyearbyen,78.2186,15.6401,281.06,71,75,6.69,SJ,1689563846
362,lucas,41.6501,-83.6666,294.26,75,0,0.0,US,1689563854
363,pangody,65.85,74.4859,287.82,72,99,6.83,RU,1689563854
